id,name,harga_beli,satuan
433,plastik sampah kecil/pck,26000,pck
434,daun bawang/kg,1,g
435,Timun/gram,31,g
436,Cabe Rawit/kg,65000,g
437,kwetiaw/pak,6000,pak
438,Toge/kg,10000,g
439,Emping/Kg,90000,kg
440,Sedotan kecil/pack,130,pack
441,Sedotan besar/pack,130,pack
449,LIMO/gram,25,g
450,Teh solo/pack,30,Pack
451,Es krim/pcs,30000,pcs
452,Handlove ( sarung tangan)/pak,10000,pack
454,Kantong hdpe 24/ pak,24000,pak
455,Kantong hdpe 28/ pak,24000,pak
458,Gelas Take Away/pcs,750,Pcs(1 pak isi 50 pcs)
464,Royco Ayam,55000,bungkus
465,Royco Sapi,50000,Bungkus
466,Tiparos,42000,Bungkus
487,Kelapa parut kering/gram,50,gr
488,Sirup lemongras/ml,207,ml
489,Sirup Vanila delifru/ml,60,ml
490,Sirup peach drip/ml,146,ml
491,sirup  coconut drip/ml,144,ml
493,sirup drip vanila/ml,142,ml
494,denali sirup tiramusi/ml,158,ml
495,Delifru sirup dark cherry/ml,111,ml
497,mix platter,2000,
499,Kerupuk bawang / gram,16,gram
500,Bluberry selai goldenfil/gr,60,gram
520,Triste pandan/ml,112,ml
521,Sirup Denali lemon/ml,135,ml
522,Jelly konyaku coffee/gr,70,gr
523,Topico sauce strawberry/gr,95,gr
524,Topico sirup orange/ml,110,ml
525,Rinso bubuk/gr,28,gr
526,Mie bestie/porsi,2000,porsi
530,Delmanto blackpper/gram,37,gram
531,Delmanto BBQ/gram,37,gram
542,Kuah gultik/porsi,5000,porsi
543,Daging gultik/porsi,5000,porsi
544,Tovico Klepon,50,Gr
550,Plastik klip uk 7x10/pack,7000,pack
551,Plastik klip uk 10x6/pack,7000,pack
552,plastik sampah besar/pck,26000,pack
553,Tepung panir/kg,23000,kg
554,Saos kopi/pcs,3000,pcs
555,Mayones/gr,25,gram
556,Greenfile tiramisu/gr,60,gram
557,Saos bento/pcs,3000,pcs
558,Sambal mie bestie/porsi,3000,porsi
