id,name,category,resto,harga_jual,note
512,Mie Bestie,Makanan,Indokopi Lite,13000,
513,Roti Kenangan Coklat Keju,Makanan,Indokopi Lite,15000,
514,Es teh manis,Teh,Indokopi Lite,5000,
516,Es Teh Lecy,Non Coffee,Indokopi,15000,
517,Toping Telor,Tambahan,Indokopi,5000,
518,sea salt,Tambahan,Indokopi,3000,
519,Toping Keju,Tambahan,Indokopi,5000,
527,Gultic blok m,Makanan,Indokopi,15000,
528,Gultic blok m,Makanan,Indokopi Lite,15000,
535,Es Leci Tea,Teh,Indokopi Lite,18000,
536,Coklat Bestie,Non Kopi,Indokopi Lite,15000,
538,matcha latte,Non Coffee,Indokopi Lite,28000,
539,matcha aren,Non Coffee,Indokopi Lite,28000,
540,Air Mineral,Non Coffee,Indokopi Lite,5000,
541,Nasi Putih,Tambahan,Indokopi Lite,5000,
545,"Ceria Nusantara , Soto Betawi Nasi Putih Es Teh",Promo September,Indosteak,45000,
546,"Ceria Bestie, Chicken Steak Paha Kopi Aren Tua",Promo September,Indosteak,50000,
547,"Rambutan Ceria, Kopi Rambutan Singkong Goreng",Promo September,Indosteak,44000,
549,"Ceria Indonesia, Ayam Bakar Nasi Putih Es Cendol",Promo September,Indosteak,54000,
